job,status,customer,order_date,part_number,description,rev,order_quantity,unit_price,total_price,net_shipped,order_unit,price_uom,sales_rep,customer_line2,job_revision
20-037,Complete,KEMIRAWS,2020-02-21T00:00:00,"23,000 GAL 2205 SOLUTIZER VESS","23,000 GAL 2205 SOLUTIZER VESS",,1,198900.00,198900.00,1,ea,ea,,4502336970,
20-038,Complete,LIOCHEM1,2020-02-21T00:00:00,"13,000 GAL SST STORAGE TK","13,000 GAL SST STORAGE TK",,1,53350.00,53350.00,2,ea,ea,,6000091239,
20-039,Complete,YATECONS,2020-02-19T00:00:00,VACUUM WATER TK 570-V-5728,VACUUM WATER TK 570-V-5728,,1,15850.00,15850.00,1,ea,ea,,2091000012,
20-040,Complete,WILDSTEE,2020-02-26T00:00:00,ROLL ALUMINUM SQ TUBE,ROLL ALUMINUM SQ TUBE,,1,0.00,0.00,0,ea,ea,,VERBAL,
20-041,Complete,KEMIRAWS,2020-03-13T00:00:00,2205 OXIDIZER,2205 OXIDIZER,,1,402898.00,402898.00,2,ea,ea,,4502348626,
20-042,Complete,YATECONS,2020-03-24T00:00:00,REJECTS SETTLING TK 380-V-3888,REJECTS SETTLING TK 380-V-3888,,1,49900.00,49900.00,1,ea,ea,,2091000012,
20-043,Complete,ANDRITZI,2020-03-09T00:00:00,AGITATOR MOUNTING BLIND,AGITATOR MOUNTING BLIND,,1,2150.00,2150.00,1,ea,ea,,4502832402,
20-044,Complete,YATECONS,2020-03-23T00:00:00,STAND PIPE 380-V-3890,STAND PIPE 380-V-3890,,1,8375.00,8375.00,1,ea,ea,,2091000012,
20-045,Complete,IRVCPROD,2020-03-17T00:00:00,GLUE CONTAINMENT DROPLET SEPAR,GLUE CONTAINMENT DROPLET SEPAR,,1,6925.00,6925.00,1,ea,ea,,20449348 OP,
20-046,Complete,ANDRITZNY,2020-03-23T00:00:00,SST POLISHED DEAERATOR,SST POLISHED DEAERATOR,,1,262200.00,262200.00,2,ea,ea,,4502844631,
20-047,Complete,NUTRIEN,2020-03-24T00:00:00,HF DUMP TANK,HF DUMP TANK,,1,87750.00,87750.00,1,ea,ea,,2101132199,
20-048,Complete,NUTRIEN,2020-03-24T00:00:00,HF DUMP TANK,HF DUMP TANK,,1,87750.00,87750.00,1,ea,ea,,2101132199,
20-049,Complete,NUTRIEN,2020-03-24T00:00:00,LIGHTS COLUMN RECEIVER,LIGHTS COLUMN RECEIVER,,1,45025.00,45025.00,1,ea,ea,,2101132199,
20-050,Complete,NUTRIEN,2020-03-24T00:00:00,LIGHTS COLUMN RECEIVER,LIGHTS COLUMN RECEIVER,,1,44975.00,44975.00,1,ea,ea,,2101132199,
20-051,Complete,NUTRIEN,2020-03-24T00:00:00,DEHYDRATION COLUMN RECEIVER,DEHYDRATION COLUMN RECEIVER,,1,47225.00,47225.00,1,ea,ea,,2101132199,
20-052,Complete,NUTRIEN,2020-03-24T00:00:00,DEHYDRATION COLUMN RECEIVER,DEHYDRATION COLUMN RECEIVER,,1,47275.00,47275.00,1,ea,ea,,2101132199,
20-053,Complete,NUTRIEN,2020-03-24T00:00:00,HEAVIES COLUMN RECEIVER,HEAVIES COLUMN RECEIVER,,1,59025.00,59025.00,1,ea,ea,,2101132199,
20-054,Complete,NUTRIEN,2020-03-24T00:00:00,HEAVIES COLUMN RECEIVER,HEAVIES COLUMN RECEIVER,,1,59025.00,59025.00,1,ea,ea,,2101132199,
20-055,Complete,NUTRIEN,2020-03-24T00:00:00,ACID PUMP VESSEL,ACID PUMP VESSEL,,1,43525.00,43525.00,1,ea,ea,,2101132199,
20-056,Complete,NUTRIEN,2020-03-24T00:00:00,ACID PUMP VESSEL,ACID PUMP VESSEL,,1,43600.00,43600.00,1,ea,ea,,2101132199,
20-057,Complete,NUTRIEN,2020-03-24T00:00:00,DEHYDRATION REFLUX VESSEL,DEHYDRATION REFLUX VESSEL,,1,31350.00,31350.00,1,ea,ea,,2101132199,
